word	rank	source_rank	zipf	score
анджелеса	12605	12853	3.86	0.408571
владивостока	12617	12865	3.86	0.408571
джоном	12631	12879	3.86	0.408571
евросоюз	12639	12887	3.86	0.408571
жанейро	12640	12888	3.86	0.408571
жанна	12641	12889	3.86	0.408571
львова	12682	12930	3.86	0.408571
марса	12686	12934	3.86	0.408571
пекине	12737	12985	3.86	0.408571
чечни	12855	13105	3.86	0.408571
ярославле	12865	13115	3.86	0.408571
анатолия	12872	13123	3.85	0.407143
андреа	12873	13124	3.85	0.407143
барнаул	12875	13126	3.85	0.407143
бернард	12878	13129	3.85	0.407143
джефф	12917	13168	3.85	0.407143
джозеф	12918	13169	3.85	0.407143
достоевский	12921	13172	3.85	0.407143
достоевского	12922	13173	3.85	0.407143
ильича	12942	13193	3.85	0.407143
китаем	12947	13198	3.85	0.407143
леонардо	12963	13214	3.85	0.407143
макаров	12969	13220	3.85	0.407143
натали	12981	13232	3.85	0.407143
николаю	12986	13237	3.85	0.407143
ташкент	13082	13333	3.85	0.407143
чехословакии	13108	13359	3.85	0.407143
аллен	13117	13372	3.84	0.405714
андреев	13119	13374	3.84	0.405714
барри	13125	13380	3.84	0.405714
гарсия	13160	13415	3.84	0.405714
григория	13164	13419	3.84	0.405714
марокко	13231	13486	3.84	0.405714
орлова	13276	13531	3.84	0.405714
шерлок	13412	13668	3.84	0.405714
австрия	13418	13677	3.83	0.404286
адама	13420	13679	3.83	0.404286
алтае	13421	13680	3.83	0.404286
барак	13426	13685	3.83	0.404286
борисов	13436	13695	3.83	0.404286
джейсон	13464	13724	3.83	0.404286
лебедева	13518	13779	3.83	0.404286
ливерпуль	13523	13784	3.83	0.404286
лысенко	13524	13785	3.83	0.404286
павлов	13562	13823	3.83	0.404286
петровна	13568	13829	3.83	0.404286
петром	13569	13830	3.83	0.404286
петру	13570	13831	3.83	0.404286
сергеем	13635	13896	3.83	0.404286
смоленск	13643	13904	3.83	0.404286
софии	13652	13913	3.83	0.404286
стива	13655	13916	3.83	0.404286
стивена	13656	13917	3.83	0.404286
таиланда	13660	13921	3.83	0.404286
томске	13664	13925	3.83	0.404286
хорватии	13675	13936	3.83	0.404286
бобби	13693	13963	3.82	0.402857
виталия	13699	13969	3.82	0.402857
джека	13728	13998	3.82	0.402857
джеффри	13729	13999	3.82	0.402857
захарченко	13750	14020	3.82	0.402857
клинтон	13770	14040	3.82	0.402857
краснодара	13781	14051	3.82	0.402857
монголии	13798	14068	3.82	0.402857
никитин	13823	14093	3.82	0.402857
пабло	13843	14113	3.82	0.402857
павлова	13844	14114	3.82	0.402857
рафаэль	13892	14162	3.82	0.402857
рогозин	13899	14169	3.82	0.402857
смирнова	13925	14195	3.82	0.402857
тимур	13942	14212	3.82	0.402857
томаса	13943	14213	3.82	0.402857
уилсон	13952	14222	3.82	0.402857
федоров	13964	14234	3.82	0.402857
фернандо	13965	14235	3.82	0.402857
фрэнка	13973	14243	3.82	0.402857
фрэнсис	13974	14244	3.82	0.402857
андерсон	13993	14272	3.81	0.401429
андреем	13994	14273	3.81	0.401429
антонов	13995	14274	3.81	0.401429
афганистан	14001	14280	3.81	0.401429
гоголь	14035	14314	3.81	0.401429
испанию	14076	14355	3.81	0.401429
кристи	14087	14366	3.81	0.401429
макарова	14095	14374	3.81	0.401429
оливер	14120	14399	3.81	0.401429
софья	14190	14469	3.81	0.401429
татарстана	14211	14490	3.81	0.401429
узбекистане	14220	14499	3.81	0.401429
юнеско	14247	14526	3.81	0.401429
яковлев	14250	14529	3.81	0.401429
вьетнама	14275	14561	3.8	0.4
давыдов	14285	14571	3.8	0.4
евровидение	14295	14581	3.8	0.4
иоанн	14317	14603	3.8	0.4
марков	14346	14633	3.8	0.4
ричарда	14450	14738	3.8	0.4
роскомнадзор	14452	14740	3.8	0.4
татьяны	14482	14770	3.8	0.4
федора	14509	14797	3.8	0.4
францией	14513	14801	3.8	0.4
шекспира	14524	14812	3.8	0.4
югославии	14530	14818	3.8	0.4
аваков	14534	14827	3.79	0.398571
азербайджан	14537	14830	3.79	0.398571
